Cn1c2c(nc1N(C)CCO)n(c(=O)n(c2=O)C)C	ZINC00001081
Cc1ccc(cc1)Nc1nc2c(n1CCO)c(=O)n(c(=O)n2C)C	ZINC00029008
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)Nc1ccccc1)CCO	ZINC00032603
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)CCO	ZINC00041090
Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccccc1)C	ZINC00041471
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCCC1)CCO	ZINC00041593
CCOC(=O)Cn1c(=O)c2c(nc(n2C)N2CCCCC2)n(c1=O)C	ZINC00042949
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[NH2+]CC1)Cc1ccccc1	ZINC00044054
c1ccc(cc1)COC(=O)N1C[C@H](C[C@H]1C(=O)NC1CCCCC1)O	ZINC00049335
c1ccc(cc1)COC(=O)N1C[C@H](C[C@@H]1C(=O)NC1CCCCC1)O	ZINC00049336
c1ccc(cc1)COC(=O)N1C[C@@H](C[C@H]1C(=O)NC1CCCCC1)O	ZINC00049337
c1ccc(cc1)COC(=O)N1C[C@@H](C[C@@H]1C(=O)NC1CCCCC1)O	ZINC00049338
CCNC(=O)[C@@H]1[C@H]([C@@H]([C@H](O1)n1cnc2c1ncnc2N)O)O	ZINC00053379
CC(C)C(=O)Nc1[nH]c(=O)c2c(n1)n(cn2)[C@H]1C[C@@H]([C@H](O1)CO)O	ZINC00056610
c1ccc(cc1)C(=O)Nc1ccn(c(=O)n1)[C@@H]1[C@H]([C@@H]([C@H](O1)CO)O)O	ZINC00056703
c1c(c(=O)[nH]c(=O)n1[C@H]1C[C@@H]([C@@H](O1)CO)O)N	ZINC00057174
c1nc(c2c(n1)n(cn2)[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)NC1CCCCC1	ZINC00057276
CC(C)CCn1c2c(=O)[nH]c(=O)n(c2nc1N(CCO)CCO)C	ZINC00067647
CC(C)CCn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C	ZINC00067664
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@@H](CO)O	ZINC00067694
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@H](CO)O	ZINC00067703
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCC1)C[C@@H](CO)O	ZINC00067709
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCC1)C[C@H](CO)O	ZINC00067713
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)C[C@@H](CO)O	ZINC00067721
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)C[C@H](CO)O	ZINC00067725
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccco1)C[C@@H](CO)O	ZINC00067731
Cc1ccc(cc1)C[NH+]1CCN(CC1)c1cccc2c1cc[nH]2	ZINC00087315
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)CCO	ZINC00087451
CCCn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C	ZINC00093031
CNc1nc2c(n1C[C@@H](CO)O)c(=O)[nH]c(=O)n2C	ZINC00093090
CNc1nc2c(n1C[C@H](CO)O)c(=O)[nH]c(=O)n2C	ZINC00093095
CCn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C	ZINC00119576
Cn1c2c(nc1NC[C@@H](c1ccccc1)O)n(c(=O)n(c2=O)C)C	ZINC00133626
Cn1c2c(nc1NC[C@H](c1ccccc1)O)n(c(=O)n(c2=O)C)C	ZINC00133632
c1ccc2c(c1)c(c[nH]2)C[N@@H+]1CC[C@H](CC1)[NH+]1CCCCC1	ZINC00151283
Cc1cc(c2cc([nH]c2c1)C(=O)N1CCC(CC1)Cc1ccccc1)C	ZINC00154760
Cn1c2c(nc1NCCc1ccc(cc1)O)n(c(=O)n(c2=O)C)C	ZINC00158284
CC(C)C(=O)Nc1[nH]c(=O)c2c(n1)n(cn2)[C@@H]1C[C@H]([C@@H](O1)CO)O	ZINC00162430
CC(C)C(=O)Nc1[nH]c(=O)c2c(n1)n(cn2)[C@@H]1C[C@@H]([C@@H](O1)CO)O	ZINC00162433
c1ccc(cc1)Cn1c(=O)c2c(nc[nH]2)n(c1=O)c1cccc(c1)N	ZINC00170907
Cc1ccccc1n1c2c(c(=O)n(c1=O)Cc1ccccc1N)[nH]cn2	ZINC00171144
CCn1c2c(=O)[nH]c(=O)n(c2nc1N1CCOCC1)C	ZINC00180651
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[NH+](CC1)C)CCO	ZINC00189476
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)CCO	ZINC00192102
CC(C)CCn1c2c(=O)[nH]c(=O)n(c2nc1N1CCOCC1)C	ZINC00192124
Cc1cc(nc(n1)NC1=NCC(=O)N1c1ccc2c(c1)OCCO2)C	ZINC00203290
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CC[NH+](CC1)C)CC(=O)N	ZINC00235946
C[C@H]1CCC[N@H+](C1)Cc1nc2c(n1CC(=O)N)c(=O)n(c(=O)n2C)C	ZINC00245701
CC(C)n1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccccc1)C	ZINC00265513
CC(=O)Nc1nc(cs1)c1cc2ccc(cc2oc1=O)O	ZINC00273809
CCCn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[NH2+]CC1)C	ZINC00276628
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CC[NH2+]CC1)CC(=O)N	ZINC00287536
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[NH+](CC1)C)CC(=O)N	ZINC00287539
c1ccc(cc1)OCCn1c2ccccc2nc1NC(=O)c1ccco1	ZINC00300156
CCCn1c2c(nc1NCc1ccco1)n(c(=O)n(c2=O)C)C	ZINC00300723
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)n1ccnc1)Cc1ccccc1	ZINC00301846
Cn1c2c(c(=O)n(c1=O)C)n1c(n2)N(C[C@H](C1)O)c1ccc(cc1)O	ZINC00351118
Cn1c2c(c(=O)n(c1=O)C)n1c(n2)N(C[C@@H](C1)O)c1ccc(cc1)O	ZINC00351119
