Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)CCO	ZINC00192102
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@@H](CO)O	ZINC00352329
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@H](CO)O	ZINC00352330
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)CCO	ZINC00541399
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00625892
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00625969
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccc(cc1)OC)O	ZINC00625974
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccccc1)O	ZINC00626019
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccccc1)O	ZINC00626022
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](CO)O	ZINC00626068
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](CO)O	ZINC00626070
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626142
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626144
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00626181
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00626183
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)CCCc1ccccc1	ZINC00629148
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](COc1ccccc1)O	ZINC00633243
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N(C)CCO)Cc1ccccc1Cl	ZINC00634527
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00828754
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CCOCC1)n(c(=O)[nH]c2=O)C)O	ZINC00850885
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCOCC1)C)O	ZINC00850886
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](COc1ccccc1)O	ZINC00850894
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@@H](COc1ccc(cc1Cl)Cl)O	ZINC00974983
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](COc1ccc(cc1Cl)Cl)O	ZINC00974984
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@@H](COc1cccc2c1cccc2)O	ZINC00975386
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](COc1cccc2c1cccc2)O	ZINC00975387
c1[nH]c(=O)c2c(n1)n(c(n2)N1CC[NH2+]CC1)[C@@H]1[C@@H]([C@H]([C@H](O1)CO)O)O	ZINC01081587
C[C@H]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O	ZINC01081597
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)C[C@@H](CO)O	ZINC01279220
C[C@]1([C@H]([C@@H]([C@@](O1)(C)n1c2c(c(=O)[nH]cn2)nc1N1CCOCC1)O)O)CO	ZINC01457719
[C@@H]([C@H]([C@@H](C(=O)[O-])O)O)([C@@H](C(=O)[O-])O)O	ZINC01532740
[C@@H]([C@H]([C@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O	ZINC01549593
C(CC(=O)N)[C@@H](C(=O)NCC(=O)[O-])[NH3+]	ZINC01581634
C(CC(=O)[O-])[C@@H](C(=O)N[C@@H](CO)C(=O)[O-])[NH3+]	ZINC01763954
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCn1ccnc1)C[C@@H](COc1ccc(cc1)OC)O	ZINC01770939
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)Cc1ccccc1Cl	ZINC01827407
CCCCNc1nc2c(n1C[C@@H](COc1ccc(cc1)OC)O)c(=O)[nH]c(=O)n2C	ZINC01835187
CCCCNc1nc2c(n1C[C@H](COc1ccc(cc1)OC)O)c(=O)[nH]c(=O)n2C	ZINC01835188
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCOC)C[C@@H](COc1ccccc1)O	ZINC01839906
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCOC)C[C@H](COc1ccccc1)O	ZINC01839907
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC01840584
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC01840585
CCCCCn1c2c(=O)[nH]c(=O)n(c2nc1N1CCN(CC1)C(=O)c1ccco1)C	ZINC01860082
CCOCCn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccc(cc1)OC)C	ZINC01863426
[C@H]([C@H]([C@@H](C(=O)[O-])O)O)([C@@H](C(=O)[O-])O)O	ZINC02013424
CC(C)[N@H+]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC02024313
c1ccc(cc1)CNc1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@H]([C@H]([C@@H](O1)CO)O)O)N	ZINC02124517
C[N@@H+]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@@H]1[C@H]([C@H]([C@@H](O1)CO)O)O	ZINC02151124
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)CC(=O)c1ccccc1	ZINC02199487
Cc1cccc(c1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC(C)C)C)O	ZINC02202013
COCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(c(c1)C(=O)[O-])O	ZINC02204415
CCOc1ccc(cc1OCC)CCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)Cc1ccco1	ZINC02254342
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)C[C@@H](COc1ccccc1)O	ZINC02258800
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)C[C@H](COc1ccccc1)O	ZINC02258801
Cc1cccc(c1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCc1ccc(cc1)OC)N	ZINC02283329
COc1ccc(cc1OC)CCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)Cc1ccco1	ZINC02285196
Cc1ccc(cc1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCc1ccc(cc1)OC)N	ZINC02286836
COc1ccc(cc1OC)CCn1c(c(c2c1nc1ccccc1n2)C(=O)NCc1ccccc1)N	ZINC02290438
COc1ccc(c(c1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCc1ccccc1)N)OC	ZINC02290795
COc1ccc(cc1OC)CCn1c(c(c2c1nc1ccccc1n2)C(=O)NCc1ccco1)N	ZINC02291676
COc1ccc(cc1)CCn1c(c(c2c1nc1ccccc1n2)C(=O)NCc1ccco1)N	ZINC02291753
CCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(cc1)OC	ZINC02296915
COCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cc(ccc1OC)OC	ZINC02301478
CCCCOc1ccc(cc1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCOC)N	ZINC02303346
CCOc1ccccc1n1c(c(c2c1nc1ccccc1n2)C(=O)NCCOC)N	ZINC02309619
CCc1ccc(cc1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCc1ccc(cc1)OC)N	ZINC02310257
CCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cccc(c1)OC	ZINC02310273
CCCCc1ccc(cc1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCc1ccc(cc1)OC)N	ZINC02310757
CCOc1ccc(cc1)n1c(c(c2c1nc1ccccc1n2)C(=O)NCCOC)N	ZINC02312272
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCC[NH+](C)C)Cc1cc(ccc1Cl)OC	ZINC02331886
CCOCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(cc1OC)OC	ZINC02335255
CCCNc1nc2c(n1C[C@@H](COc1cccc(c1)C)O)c(=O)n(c(=O)n2C)C	ZINC02336432
